County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Surry County,7044,6921,6839,6787,6780,6671,6554,6503,6463,6422
Sussex County,12011,12086,11924,11766,11723,11692,11414,11379,11241,11159
Tazewell County,45117,44730,44264,44017,43379,42905,42155,41303,41058,40595
Warren County,37518,37646,37887,38500,40126,38716,39165,39409,40006,40164
Washington County,54967,54831,55095,54776,54603,54268,54100,54179,54067,53740
Westmoreland County,17489,17635,17513,17552,17436,17549,17649,17725,17817,18015
Wise County,41572,41454,40909,40662,39892,39572,39027,38574,37875,37383
Wythe County,29252,29202,29328,29282,29055,29097,28912,28829,28698,28684
York County,65222,65772,65825,65980,66523,67802,67832,68022,67976,68280
Alexandria city,140729,144219,147291,149637,151375,153654,156698,159215,159069,159428
Bristol city,17766,17717,17692,17386,17191,17146,17088,16880,16685,16762
Buena Vista city,6611,6711,6747,6652,6549,6529,6435,6482,6494,6478
Charlottesville city,43461,43761,44580,45012,45518,46301,46943,47463,47506,47266
Chesapeake city,223556,225361,228091,230327,233360,235111,237464,240143,242359,244835
Colonial Heights city,17339,17284,17383,17487,17442,17444,17398,17424,17504,17370
Covington city,5940,5914,5842,5827,5772,5663,5637,5576,5578,5538
Danville city,42924,42645,42705,42623,42263,41947,41665,41044,40649,40044
Emporia city,5921,5841,5813,5693,5597,5558,5478,5467,5363,5346
Fairfax city,22614,22460,22894,23230,23310,23230,23246,23435,23725,24019
Falls Church city,12399,12660,13087,13360,13416,13728,13582,14245,14467,14617
Franklin city,8579,8445,8482,8536,8392,8331,8201,8145,8089,7967
Fredericksburg city,24354,25752,27179,27818,28256,28043,28360,28498,29171,29036
Galax city,6991,6846,6852,6931,6899,6800,6604,6484,6348,6347
Hampton city,137415,136628,137177,137332,137680,136264,135374,134725,134330,134510
Harrisonburg city,48993,49935,51312,51537,52542,52675,53542,53644,53488,53016
Hopewell city,22642,22502,22309,22161,22109,22231,22539,22505,22478,22529
Lexington city,7043,6972,7018,7146,7125,7162,7148,7154,7297,7446
Lynchburg city,75548,76584,77269,77940,78141,79134,79710,80523,81309,82168
Manassas city,38212,39101,40284,41082,41142,41409,41189,41141,41046,41085
Manassas Park city,14449,15067,15397,15896,15916,16129,16456,17149,17718,17478
Martinsville city,13760,13596,13492,13416,13317,13259,12996,12823,12627,12554
Newport News city,180888,180078,180056,181275,181522,180958,180209,179447,178523,179225
Norfolk city,242999,243655,246149,245468,246576,246457,245680,244543,243585,242742
Norton city,4012,4087,4124,4099,4135,4009,3972,3918,3972,3981
Petersburg city,32502,32091,31996,32311,32241,31892,31380,31137,31056,31346
Poquoson city,12148,12042,12114,12094,12009,12021,11952,12039,12169,12271
Portsmouth city,95451,95748,96480,96075,95829,96336,95165,94838,94750,94398
Radford city,16430,16814,16714,17117,17392,17295,17324,17484,18101,18249
Richmond city,204302,206391,210794,213860,217044,220856,225369,227230,229221,230436
Roanoke city,96720,96782,98011,98849,99427,99669,99337,98986,99009,99143
Salem city,24895,25026,25179,25317,25428,25364,25252,25373,25293,25301
Staunton city,23737,24023,23809,24101,24283,24185,24156,24325,24562,24932
Suffolk city,84813,84750,85251,85751,86882,88079,89194,90108,90975,92108
Virginia Beach city,438859,442583,445044,447706,448864,450304,450983,449896,449849,449974
Waynesboro city,20993,21103,21066,21167,21305,21542,21757,22242,22531,22630
Williamsburg city,13727,14109,14526,14617,14580,14800,14884,14994,15002,14954
Winchester city,26150,26660,27008,27321,27382,27480,27785,28178,27962,28078
